         2485641 function calls (2485360 primitive calls) in 5.902 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    3.592    0.163    3.607    0.164 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/utils/uvlmlib.py:219(vlm_solver)
       23    0.724    0.031    1.140    0.050 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/generators/straightwake.py:127(generate)
     1386    0.311    0.000    0.593    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/models/aerogrid.py:374(generate_strip)
   163670    0.254    0.000    0.388    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/linalg/linalg.py:2383(norm)
       22    0.176    0.008    0.177    0.008 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/structure/utils/xbeamlib.py:76(cbeam3_solv_nlnstatic)
       23    0.115    0.005    0.155    0.007 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/utils/mapping.py:6(aero2struct_force_mapping)
   163672    0.081    0.000    0.081    0.000 {method 'dot' of 'numpy.ndarray' objects}
        3    0.044    0.015    0.044    0.015 {method 'read' of '_io.BufferedReader' objects}
     2892    0.036    0.000    0.102    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/numeric.py:1468(cross)
     4238    0.035    0.000    0.059    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:528(crv2rotation)
   154560    0.032    0.000    0.044    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/generators/straightwake.py:158(get_deltax)
    29187    0.028    0.000    0.031    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:177(skew)
     8718    0.027    0.000    0.061    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/numeric.py:1393(moveaxis)
    20112    0.024    0.000    0.027    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:1619(cross3)
    17436    0.022    0.000    0.029    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/numeric.py:1330(normalize_axis_tuple)
    70528    0.022    0.000    0.035    0.000 {built-in method numpy.zeros}
   272850    0.019    0.000    0.019    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/multiarray.py:741(dot)
       33    0.018    0.001    0.630    0.019 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/models/aerogrid.py:143(generate_zeta_timestep_info)
   163852    0.018    0.000    0.023    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/linalg/linalg.py:140(isComplexType)
   166442    0.017    0.000    0.017    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       22    0.015    0.001    0.015    0.001 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/generators/steadyvelocityfield.py:65(generate)
     1386    0.014    0.000    0.117    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:260(angle_between_vectors_sign)
   358221    0.014    0.000    0.014    0.000 {built-in method builtins.issubclass}
     1386    0.012    0.000    0.015    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/function_base.py:24(linspace)
   154625    0.012    0.000    0.012    0.000 {built-in method builtins.min}
     1386    0.012    0.000    0.020    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:608(crv2tan)
   163670    0.012    0.000    0.012    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/linalg/linalg.py:2379(_norm_dispatcher)
       46    0.011    0.000    0.036    0.001 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/datastructures.py:1110(nodal_b_for_2_a_for)
