         2389758 function calls (2389477 primitive calls) in 5.572 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    3.336    0.159    3.350    0.160 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/utils/uvlmlib.py:219(vlm_solver)
       22    0.697    0.032    1.097    0.050 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/generators/straightwake.py:127(generate)
     1344    0.299    0.000    0.570    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/models/aerogrid.py:374(generate_strip)
   156652    0.243    0.000    0.373    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/linalg/linalg.py:2383(norm)
       21    0.181    0.009    0.182    0.009 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/structure/utils/xbeamlib.py:76(cbeam3_solv_nlnstatic)
       22    0.112    0.005    0.150    0.007 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/utils/mapping.py:6(aero2struct_force_mapping)
   156654    0.078    0.000    0.078    0.000 {method 'dot' of 'numpy.ndarray' objects}
        3    0.044    0.015    0.044    0.015 {method 'read' of '_io.BufferedReader' objects}
     2808    0.035    0.000    0.098    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/numeric.py:1468(cross)
     4072    0.033    0.000    0.056    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:528(crv2rotation)
   147840    0.031    0.000    0.042    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/generators/straightwake.py:158(get_deltax)
    28265    0.026    0.000    0.030    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:177(skew)
     8466    0.026    0.000    0.059    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/numeric.py:1393(moveaxis)
    19234    0.023    0.000    0.025    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:1619(cross3)
    16932    0.021    0.000    0.028    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/numeric.py:1330(normalize_axis_tuple)
    68094    0.021    0.000    0.034    0.000 {built-in method numpy.zeros}
   263618    0.018    0.000    0.018    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/multiarray.py:741(dot)
       32    0.018    0.001    0.606    0.019 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/models/aerogrid.py:143(generate_zeta_timestep_info)
   156834    0.017    0.000    0.022    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/linalg/linalg.py:140(isComplexType)
   159340    0.016    0.000    0.016    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       21    0.014    0.001    0.014    0.001 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/generators/steadyvelocityfield.py:65(generate)
     1344    0.014    0.000    0.112    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:260(angle_between_vectors_sign)
   343547    0.013    0.000    0.013    0.000 {built-in method builtins.issubclass}
     1344    0.012    0.000    0.014    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/function_base.py:24(linspace)
   147905    0.011    0.000    0.011    0.000 {built-in method builtins.min}
   156652    0.011    0.000    0.011    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/linalg/linalg.py:2379(_norm_dispatcher)
     1344    0.011    0.000    0.020    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:608(crv2tan)
       44    0.011    0.000    0.035    0.001 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/datastructures.py:1110(nodal_b_for_2_a_for)
     1388    0.010    0.000    0.015    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:675(quat2rotation)
     8105    0.010    0.000    0.012    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/lib/twodim_base.py:158(eye)
        3    0.009    0.003    0.009    0.003 {built-in method _posixsubprocess.fork_exec}
        3    0.009    0.003    0.009    0.003 {built-in method posix.read}
     6386    0.008    0.000    0.014    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/_dtype_ctypes.py:100(dtype_from_ctypes_type)
   167010    0.007    0.000    0.007    0.000 {built-in method numpy.asarray}
       42    0.006    0.000    0.044    0.001 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/datastructures.py:1152(extract_resultants)
     8426    0.005    0.000    0.008    0.000 {method 'astype' of 'numpy.ndarray' objects}
     2592    0.005    0.000    0.005    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:740(rotation3d_x)
