         2677397 function calls (2677116 primitive calls) in 6.309 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    3.842    0.160    3.858    0.161 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/utils/uvlmlib.py:219(vlm_solver)
       25    0.782    0.031    1.224    0.049 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/generators/straightwake.py:127(generate)
     1470    0.328    0.000    0.625    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/models/aerogrid.py:374(generate_strip)
   177706    0.274    0.000    0.410    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/linalg/linalg.py:2383(norm)
       24    0.195    0.008    0.197    0.008 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/structure/utils/xbeamlib.py:76(cbeam3_solv_nlnstatic)
       25    0.125    0.005    0.168    0.007 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/utils/mapping.py:6(aero2struct_force_mapping)
   177708    0.080    0.000    0.080    0.000 {method 'dot' of 'numpy.ndarray' objects}
        3    0.044    0.015    0.044    0.015 {method 'read' of '_io.BufferedReader' objects}
     3060    0.038    0.000    0.107    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/numeric.py:1468(cross)
     4570    0.037    0.000    0.063    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:528(crv2rotation)
   168000    0.035    0.000    0.048    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/generators/straightwake.py:158(get_deltax)
    31031    0.029    0.000    0.033    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:177(skew)
     9222    0.029    0.000    0.065    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/numeric.py:1393(moveaxis)
    21868    0.026    0.000    0.029    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:1619(cross3)
    18444    0.023    0.000    0.031    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/numeric.py:1330(normalize_axis_tuple)
    75396    0.023    0.000    0.037    0.000 {built-in method numpy.zeros}
