         3156802 function calls (3156521 primitive calls) in 7.529 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       29    4.634    0.160    4.654    0.160 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/utils/uvlmlib.py:219(vlm_solver)
       30    0.941    0.031    1.469    0.049 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/generators/straightwake.py:127(generate)
     1680    0.375    0.000    0.714    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/models/aerogrid.py:374(generate_strip)
   212796    0.326    0.000    0.489    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/linalg/linalg.py:2383(norm)
       29    0.229    0.008    0.231    0.008 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/structure/utils/xbeamlib.py:76(cbeam3_solv_nlnstatic)
       30    0.149    0.005    0.200    0.007 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/utils/mapping.py:6(aero2struct_force_mapping)
   212798    0.095    0.000    0.095    0.000 {method 'dot' of 'numpy.ndarray' objects}
        3    0.047    0.016    0.047    0.016 {method 'read' of '_io.BufferedReader' objects}
     5400    0.044    0.000    0.074    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:528(crv2rotation)
     3480    0.043    0.000    0.122    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/numeric.py:1468(cross)
   201600    0.042    0.000    0.058    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/generators/straightwake.py:158(get_deltax)
    35641    0.033    0.000    0.038    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:177(skew)
    10482    0.033    0.000    0.073    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/numeric.py:1393(moveaxis)
    26258    0.032    0.000    0.035    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:1619(cross3)
    20964    0.026    0.000    0.035    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/numeric.py:1330(normalize_axis_tuple)
    87566    0.026    0.000    0.042    0.000 {built-in method numpy.zeros}
   337474    0.023    0.000    0.023    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/multiarray.py:741(dot)
   212978    0.023    0.000    0.030    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/linalg/linalg.py:140(isComplexType)
   216156    0.022    0.000    0.022    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       40    0.021    0.001    0.759    0.019 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/models/aerogrid.py:143(generate_zeta_timestep_info)
       29    0.020    0.001    0.020    0.001 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/generators/steadyvelocityfield.py:65(generate)
   460939    0.018    0.000    0.018    0.000 {built-in method builtins.issubclass}
