         2773259 function calls (2772978 primitive calls) in 6.577 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    3.998    0.160    4.016    0.161 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/utils/uvlmlib.py:219(vlm_solver)
       26    0.822    0.032    1.297    0.050 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/generators/straightwake.py:127(generate)
     1512    0.337    0.000    0.643    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/models/aerogrid.py:374(generate_strip)
   184724    0.288    0.000    0.441    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/linalg/linalg.py:2383(norm)
       25    0.200    0.008    0.202    0.008 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/structure/utils/xbeamlib.py:76(cbeam3_solv_nlnstatic)
       26    0.129    0.005    0.174    0.007 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/aero/utils/mapping.py:6(aero2struct_force_mapping)
   184726    0.093    0.000    0.093    0.000 {method 'dot' of 'numpy.ndarray' objects}
        3    0.047    0.016    0.047    0.016 {method 'read' of '_io.BufferedReader' objects}
     3144    0.039    0.000    0.110    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/numeric.py:1468(cross)
     4736    0.038    0.000    0.065    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:528(crv2rotation)
   174720    0.037    0.000    0.050    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/generators/straightwake.py:158(get_deltax)
    31953    0.030    0.000    0.034    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:177(skew)
     9474    0.029    0.000    0.066    0.000 /Users/benpreston/anaconda3/envs/sharpy/lib/python3.10/site-packages/numpy/core/numeric.py:1393(moveaxis)
    22746    0.027    0.000    0.030    0.000 /Users/benpreston/sharpy_installs/dev_profiler/sharpy/utils/algebra.py:1619(cross3)
